"Timestamp","Which of the following games have you played before?","Enter a name. This can be any non numerical string and you will use this to access your game recommendations at the end of the project."
"2021/04/07 4:09:38 PM EST","Dota 2;Counter-Strike;Counter-Strike Condition Zero;War Thunder;Terraria;PlanetSide 2;Team Fortress Classic;Call of Duty Modern Warfare 2;Metro 2033;Left 4 Dead;Grand Theft Auto V","tr5v0r"
"2021/04/14 4:46:37 PM EST","Counter-Strike Global Offensive;The Elder Scrolls V Skyrim;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Chivalry Medieval Warfare;Call of Duty Black Ops II;ARK Survival Evolved;Rocket League;Star Wars - Battlefront II;Star Wars Knights of the Old Republic;Battlefield Bad Company 2","Markus"
"2021/04/16 7:24:32 PM EST","Counter-Strike Global Offensive;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Portal 2;Borderlands 2;Call of Duty Modern Warfare 2;Fallout New Vegas;Grand Theft Auto V;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;Amnesia The Dark Descent;Sid Meier's Civilization IV;Borderlands;Fallout 4;Rocket League;South Park The Stick of Truth","ian"
"2021/04/18 2:59:47 PM EST","","mobob"
"2021/04/18 3:00:41 PM EST","Counter-Strike Global Offensive;Left 4 Dead 2;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Portal 2;Terraria;Borderlands 2;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;BioShock Infinite;Left 4 Dead;Grand Theft Auto IV;Grand Theft Auto V;Saints Row The Third;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Batman Arkham City GOTY;Far Cry 3;Hitman Absolution;Mirror's Edge;Batman Arkham Asylum GOTY Edition;Call of Duty Black Ops II;Saints Row IV;Rocket League;Goat Simulator;Star Wars - Battlefront II;Surgeon Simulator","Nick Nolkemper "
"2021/04/18 3:03:06 PM EST","Portal;Portal 2;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Batman Arkham City GOTY;Call of Duty Black Ops II;Rocket League","reveille"
"2021/04/18 3:03:44 PM EST","Portal 2;Grand Theft Auto IV;PAYDAY The Heist;Grand Theft Auto V;Call of Duty Black Ops;Batman Arkham City GOTY;Hitman Absolution;Batman Arkham Asylum GOTY Edition;Grand Theft Auto Episodes from Liberty City;Grand Theft Auto III;Fallout 4;Call of Duty Black Ops II;Saints Row IV;ARK Survival Evolved;DC Universe Online","Michael"
"2021/04/18 3:06:57 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Portal 2;Borderlands 2;Trove;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Grand Theft Auto IV;Grand Theft Auto V;Tomb Raider;Call of Duty Black Ops;Batman Arkham City GOTY;Batman Arkham Asylum GOTY Edition;Call of Duty Black Ops II;The Witcher Enhanced Edition;Rocket League;Batman Arkham Origins","Aniket Patel"
"2021/04/18 3:07:10 PM EST","The Elder Scrolls V Skyrim","NintendoExists"
"2021/04/18 3:13:02 PM EST","Team Fortress 2;Unturned;Left 4 Dead 2;Warframe;War Thunder;Borderlands 2;Call of Duty Modern Warfare 2;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Call of Duty Black Ops II;Fistful of Frags;Star Wars - Battlefront II","Thundersoar"
"2021/04/18 3:19:38 PM EST","Team Fortress 2;The Elder Scrolls V Skyrim;Grand Theft Auto V","Elaine Mo"
"2021/04/18 3:23:52 PM EST","Team Fortress 2;The Elder Scrolls V Skyrim;Grand Theft Auto V","Elaine Mo"
"2021/04/18 3:25:22 PM EST","Team Fortress 2;Left 4 Dead 2;Warframe;The Elder Scrolls V Skyrim;Portal;Portal 2;Terraria;Borderlands 2;PlanetSide 2;Grand Theft Auto V;Call of Duty Black Ops;DayZ;TERA;Chivalry Medieval Warfare;Far Cry 3;Borderlands;Fallout 4;Call of Duty Black Ops II;Rocket League;Dead Space;DC Universe Online;Star Wars - Battlefront II;Dark Souls Prepare to Die Edition;Burnout Paradise The Ultimate Box;Battlefield Bad Company 2;Middle-earth Shadow of Mordor;Space Engineers","Nando"
